proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f4,rs,4,2,0.08988764,1,0,1,0,0.047058824,0.5,0,0.047058824,0,0.292893219
f4,spea2,4,2,0.615384615,0.061728395,0,1,0.938271605,0.444444444,0.969135802,0.96864421,0.941176471,0.666666667,0.956351433
f5,ga,5,2,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f5,ibea,5,2,0.8,0.0125,0.2,0.8,0.9875,0.8,0.89375,0.888819442,0.976470588,0.888819442,0.858302699
f5,nsga2,5,2,0.714285714,0.05,0,1,0.95,0.555555556,0.975,0.974679434,0.952941176,0.745355992,0.964644661
f5,nsga3,5,2,0.769230769,0.0375,0,1,0.9625,0.625,0.98125,0.981070844,0.964705882,0.790569415,0.973483496
f5,rs,5,2,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f5,spea2,5,2,1,0,0,1,1,1,1,1,1,1,1
f6,ga,6,2,0.08988764,1,0,1,0,0.047058824,0.5,0,0.047058824,0,0.292893219
f6,ibea,6,2,0.8,0.024691358,0,1,0.975308642,0.666666667,0.987654321,0.987577157,0.976470588,0.816496581,0.982540573
f6,nsga2,6,2,0.888888889,0.012345679,0,1,0.987654321,0.8,0.99382716,0.99380799,0.988235294,0.894427191,0.991270287
f6,nsga3,6,2,0.888888889,0.012345679,0,1,0.987654321,0.8,0.99382716,0.99380799,0.988235294,0.894427191,0.991270287
f6,rs,6,2,0.08988764,1,0,1,0,0.047058824,0.5,0,0.047058824,0,0.292893219
f6,spea2,6,2,0.888888889,0.012345679,0,1,0.987654321,0.8,0.99382716,0.99380799,0.988235294,0.894427191,0.991270287
f7,ga,7,2,0.023255814,1,0,1,0,0.011764706,0.5,0,0.011764706,0,0.292893219
f7,ibea,7,2,0.5,0.023809524,0,1,0.976190476,0.333333333,0.988095238,0.98802352,0.976470588,0.577350269,0.983164124
f7,nsga2,7,2,0.4,0.035714286,0,1,0.964285714,0.25,0.982142857,0.981980506,0.964705882,0.5,0.974746186
f7,nsga3,7,2,0.5,0.023809524,0,1,0.976190476,0.333333333,0.988095238,0.98802352,0.976470588,0.577350269,0.983164124
f7,rs,7,2,0.023255814,1,0,1,0,0.011764706,0.5,0,0.011764706,0,0.292893219
f7,spea2,7,2,0.5,0.023809524,0,1,0.976190476,0.333333333,0.988095238,0.98802352,0.976470588,0.577350269,0.983164124
f8,ga,8,2,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f8,ibea,8,2,0.714285714,0.05,0,1,0.95,0.555555556,0.975,0.974679434,0.952941176,0.745355992,0.964644661
f8,nsga2,8,2,0.545454545,0.0375,0.4,0.6,0.9625,0.5,0.78125,0.759934208,0.941176471,0.698098684,0.715917046
f8,nsga3,8,2,0.545454545,0.0375,0.4,0.6,0.9625,0.5,0.78125,0.759934208,0.941176471,0.698098684,0.715917046
f8,rs,8,2,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f8,spea2,8,2,0.666666667,0.0125,0.4,0.6,0.9875,0.75,0.79375,0.769740216,0.964705882,0.855266907,0.717019214
f9,ga,9,2,0.152173913,1,0,1,0,0.082352941,0.5,0,0.082352941,0,0.292893219
f9,ibea,9,2,0.875,0.025641026,0,1,0.974358974,0.777777778,0.987179487,0.987096234,0.976470588,0.881917104,0.981869057
f9,nsga2,9,2,0.777777778,0.051282051,0,1,0.948717949,0.636363636,0.974358974,0.974021534,0.952941176,0.797724035,0.963738114
f9,nsga3,9,2,0.933333333,0.012820513,0,1,0.987179487,0.875,0.993589744,0.993569065,0.988235294,0.935414347,0.990934528
f9,rs,9,2,0.152173913,1,0,1,0,0.082352941,0.5,0,0.082352941,0,0.292893219
f9,spea2,9,2,0.736842105,0.064102564,0,1,0.935897436,0.583333333,0.967948718,0.967417922,0.941176471,0.763762616,0.954672642
f10,ga,0,3,0.10989011,1,0,1,0,0.058139535,0.5,0,0.058139535,0,0.292893219
f10,ibea,0,3,0.75,0,0.4,0.6,1,1,0.8,0.774596669,0.976744186,0.98787834,0.717157288
f10,nsga2,0,3,0.666666667,0.012345679,0.4,0.6,0.987654321,0.75,0.79382716,0.769800359,0.965116279,0.855398923,0.717022602
f10,nsga3,0,3,0.666666667,0.012345679,0.4,0.6,0.987654321,0.75,0.79382716,0.769800359,0.965116279,0.855398923,0.717022602
f10,rs,0,3,0.10989011,1,0,1,0,0.058139535,0.5,0,0.058139535,0,0.292893219
f10,spea2,0,3,0.666666667,0.037037037,0.2,0.8,0.962962963,0.571428571,0.881481481,0.877707451,0.953488372,0.751129349,0.856174164
f1,ga,1,3,0.087912088,1,0,1,0,0.045977011,0.5,0,0.045977011,0,0.292893219
f1,ibea,1,3,0.727272727,0.036144578,0,1,0.963855422,0.571428571,0.981927711,0.981761387,0.965517241,0.755928946,0.974441924
f1,nsga2,1,3,0.571428571,0.072289157,0,1,0.927710843,0.4,0.963855422,0.963177472,0.931034483,0.632455532,0.948883847
f1,nsga3,1,3,0.666666667,0.048192771,0,1,0.951807229,0.5,0.975903614,0.975606083,0.954022989,0.707106781,0.965922565
f1,rs,1,3,0.087912088,1,0,1,0,0.045977011,0.5,0,0.045977011,0,0.292893219
f1,spea2,1,3,0.666666667,0.048192771,0,1,0.951807229,0.5,0.975903614,0.975606083,0.954022989,0.707106781,0.965922565
f2,ga,2,3,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f2,ibea,2,3,0.888888889,0,0.2,0.8,1,1,0.9,0.894427191,0.988235294,0.99380799,0.858578644
f2,nsga2,2,3,0.769230769,0.0375,0,1,0.9625,0.625,0.98125,0.981070844,0.964705882,0.790569415,0.973483496
f2,nsga3,2,3,0.8,0.0125,0.2,0.8,0.9875,0.8,0.89375,0.888819442,0.976470588,0.888819442,0.858302699
f2,rs,2,3,0.111111111,1,0,1,0,0.058823529,0.5,0,0.058823529,0,0.292893219
f2,spea2,2,3,0.8,0.0125,0.2,0.8,0.9875,0.8,0.89375,0.888819442,0.976470588,0.888819442,0.858302699
f3,ga,3,3,0.068181818,1,0,1,0,0.035294118,0.5,0,0.035294118,0,0.292893219
f3,ibea,3,3,0.428571429,0.097560976,0,1,0.902439024,0.272727273,0.951219512,0.949967907,0.905882353,0.522232968,0.931013973
f3,nsga2,3,3,0.75,0.024390244,0,1,0.975609756,0.6,0.987804878,0.987729597,0.976470588,0.774596669,0.982753493
f3,nsga3,3,3,0.857142857,0.012195122,0,1,0.987804878,0.75,0.993902439,0.993883735,0.988235294,0.866025404,0.991376747
