proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f9,rs,9,3,0.365384615,1,0,1,0,0.223529412,0.5,0,0.223529412,0,0.292893219
f9,spea2,9,3,0.711111111,0.151515152,0.157894737,0.842105263,0.848484848,0.615384615,0.845295056,0.845289037,0.847058824,0.764260343,0.845262175
f10,ga,0,4,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,ibea,0,4,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,nsga2,0,4,0.754716981,0.184615385,0.047619048,0.952380952,0.815384615,0.625,0.883882784,0.881224589,0.848837209,0.783215121,0.865184545
f10,nsga3,0,4,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,rs,0,4,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,spea2,0,4,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f1,ga,1,4,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,ibea,1,4,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga2,1,4,0.588235294,0.16,0.166666667,0.833333333,0.84,0.454545455,0.836666667,0.836660027,0.83908046,0.663746518,0.836632657
f1,nsga3,1,4,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,rs,1,4,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,spea2,1,4,0.594594595,0.186666667,0.083333333,0.916666667,0.813333333,0.44,0.865,0.86345559,0.827586207,0.657953817,0.855450893
f2,ga,2,4,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,ibea,2,4,0.784313725,0.15625,0.047619048,0.952380952,0.84375,0.666666667,0.898065476,0.896421457,0.870588235,0.809039835,0.884497541
f2,nsga2,2,4,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f2,nsga3,2,4,0.75,0.21875,0,1,0.78125,0.6,0.890625,0.883883476,0.835294118,0.774596669,0.845320392
f2,rs,2,4,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,spea2,2,4,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f3,ga,3,4,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,ibea,3,4,0.711111111,0.188405797,0,1,0.811594203,0.551724138,0.905797101,0.900885233,0.847058824,0.742781353,0.866776983
f3,nsga2,3,4,0.65,0.15942029,0.1875,0.8125,0.84057971,0.541666667,0.826539855,0.826420604,0.835294118,0.717654041,0.82597259
f3,nsga3,3,4,0.711111111,0.188405797,0,1,0.811594203,0.551724138,0.905797101,0.900885233,0.847058824,0.742781353,0.866776983
f3,rs,3,4,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,spea2,3,4,0.666666667,0.202898551,0.0625,0.9375,0.797101449,0.517241379,0.867300725,0.864455094,0.823529412,0.712744643,0.849876598
f4,ga,4,4,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,ibea,4,4,0.666666667,0.184615385,0.2,0.8,0.815384615,0.571428571,0.807692308,0.807655677,0.811764706,0.728922713,0.807538523
f4,nsga2,4,4,0.72,0.184615385,0.1,0.9,0.815384615,0.6,0.857692308,0.856648209,0.835294118,0.760382679,0.851536469
f4,nsga3,4,4,0.68,0.2,0.15,0.85,0.8,0.566666667,0.825,0.824621125,0.811764706,0.731954627,0.823223305
f4,rs,4,4,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,spea2,4,4,0.693877551,0.184615385,0.15,0.85,0.815384615,0.586206897,0.832692308,0.832512416,0.823529412,0.744850962,0.831799465
f5,ga,5,4,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,ibea,5,4,0.666666667,0.157142857,0.133333333,0.866666667,0.842857143,0.541666667,0.854761905,0.854678998,0.847058824,0.723814274,0.854274821
f5,nsga2,5,4,0.75,0.142857143,0,1,0.857142857,0.6,0.928571429,0.9258201,0.882352941,0.774596669,0.898984746
