AvR,MiR,MiP,AvN,MaRP,AvBA,Sys1inv1,BB,BC,TT,RTUAvS1,Istd,class
14.18000031,13.28999996,2409,-506,291,9.220000267,36,165,166,30,3050,2.315952539,NEF
10.63000011,8.909999847,539,-59,133,1,25,166,167,24,3050,1.439696908,NEF
13.78999996,13.17000008,2219,-191,278,1,32,165,166,29,3050,2.013590097,NEF
8.739999771,1.090000033,0,-44,335,19.56999969,22,166,167,18,3050,1.721521616,NEF
11.13000011,10.14999962,784,188,8,1,32,165,166,30,3050,1.009049892,NEF
3.440000057,3.279999971,0,414,0,1,27,165,166,15,2501,1.035725474,NEF
12.23999977,10.89999962,991,-78,186,1,27,165,166,26,3050,1.834022045,NEF
9.170000076,1.149999976,0,221,1008,24.93000031,38,165,166,27,3050,0.831209421,EF
14.18999958,13.30000019,2713,-160,210,16.76000023,36,165,166,33,3050,1.572490811,EF
9.81000042,1.460000038,0,600,955,40.24000168,37,165,166,27,3050,1.009049892,EF
14.21000004,13.40999985,2717,600,303,20.15999985,37,165,166,26,3050,1.128152132,NEF
9.149999619,1.399999976,0,234,1059,37.20000076,41,164,165,28,3050,0.873862863,EF
8.819999695,7.860000134,341,-68,121,1,21,166,167,19,3050,1.026910663,NEF
1.870000005,1.700000048,0,300,0,60.02000046,23,165,166,12,3050,1.578261375,NEF
9.510000229,1.230000019,0,571,1015,29.78000069,37,165,166,31,3050,1.940009356,NEF
2.269999981,1.769999981,0,294,0,59.52999878,39,165,166,22,3050,2.547726154,NEF
14.15999985,13.60000038,2740,265,216,5.019999981,40,166,166,25,3050,1.136181831,EF
7.559999943,7.230000019,217,-464,56,1,28,165,166,25,3050,2.533412933,NEF
1.470000029,1.00999999,0,-370,110,59.34000015,34,166,166,29,2941,0.943879783,NEF
10.64000034,9.659999847,712,707,125,1,28,166,167,25,3050,1.361817002,NEF
14.17000008,13.43999958,2983,-161,211,12.05000019,34,165,166,32,3050,1.678744197,EF
14.18000031,13.42000008,2831,226,311,5.980000019,39,165,165,27,3050,0.82019949,EF
0,0,0,-102,0,91.97000122,23,166,166,14,2501,1.128152132,NEF
14.18000031,13.18999958,2312,-151,211,13.80000019,36,165,166,33,3050,1.673320055,EF
9.180000305,7.730000019,309,363,67,1,23,166,167,22,3050,1.689540029,NEF
12.89999962,1.139999986,0,326,236,18.51000023,38,165,166,31,3050,1.678744197,NEF
14.18999958,13.5,2888,325,201,7.400000095,37,165,166,32,3050,1.967924595,NEF
1.269999981,0,0,182,110,68.62999725,35,166,166,29,3050,1.035725474,NEF
10.47000027,9.609999657,696,-129,165,1,21,166,167,19,3050,1.103712797,NEF
14.14999962,13.31999969,2407,-119,210,5.329999924,34,165,166,32,3050,1.858640671,EF
13.52999973,11.18000031,1288,233,299,1.889999986,39,165,166,27,3050,0.82019949,NEF
1.960000038,1.690000057,0,307,0,60.04999924,36,165,166,19,3050,2.227921963,NEF
13.64000034,11.47999954,1180,-35,289,1.029999971,31,165,166,29,3050,1.361816883,NEF
7.289999962,1.080000043,0,-35,1097,27.94000053,23,166,167,19,3050,1.572490692,NEF
1.470000029,1.149999976,0,307,0,60.04999924,33,165,166,18,3050,2.101947069,NEF
9.350000381,1.220000029,0,221,1044,25.95000076,38,165,166,28,3050,0.82019949,EF
6.550000191,6.340000153,83,-41,46,1,18,165,166,14,3050,3.289100409,NEF
5.420000076,4.869999886,0,299,93,1,32,165,165,24,3050,0.809039831,NEF
5.03000021,4.849999905,0,197,53,1,24,166,167,10,3050,1.445997596,NEF
7.670000076,1.379999995,0,242,0,34.27000046,18,166,167,19,3050,0.750757158,NEF
7.559999943,7.110000134,204,-10,48,1,20,166,167,17,3050,3.139195204,NEF
14.18000031,12.77999973,1645,396,288,1.139999986,27,166,166,25,3050,1.737291574,NEF
14.18000031,13.71000004,3009,329,210,9.390000343,37,165,166,32,3050,1.804035783,NEF
2.549999952,2.130000114,0,287,0,59.93000031,40,165,166,23,3050,2.802596331,NEF
0.159999996,0,0,273,0,89.52999878,17,166,168,16,3050,0.522233009,NEF
13.97000027,13.13000011,1812,190,7,1,34,166,166,32,3050,1.721521497,NEF
9.699999809,1.340000033,0,-534,1008,33.56000137,34,165,166,27,3050,1.752919674,EF
1.49000001,1.360000014,0,300,0,60.02000046,25,165,166,13,3050,1.433368564,NEF
12.60000038,11.03999996,1002,263,2,1,33,165,166,32,3050,1.361817002,NEF
10.36999989,0.970000029,0,10,305,13.93999958,25,166,167,19,3050,1.814086199,NEF
13.96000004,12.44999981,1863,579,301,2.25999999,40,165,165,27,3050,0.82019949,EF
9.600000381,1.230000019,0,219,1019,27.75,38,165,166,29,3050,0.943879783,EF
5.489999771,4.679999828,0,-141,77,1,31,165,165,22,3050,1.286291242,NEF
13.84000015,10.43000031,962,-161,210,22.15999985,35,165,166,35,3050,1.445997715,NEF
8.460000038,7.550000191,268,218,55,1,27,165,165,25,3050,1.967924595,NEF
9.590000153,8.340000153,431,-58,101,1,22,166,167,21,3050,1.167748451,NEF
14.18999958,13.81000042,2913,-188,277,8.130000114,32,165,166,28,3050,2.022599459,EF
2.220000029,1.75,0,307,0,59.65999985,39,165,166,21,3050,2.696799517,NEF
9.949999809,9.489999771,676,-52,132,1,21,166,167,19,3050,1.250454545,NEF
6.360000134,5.889999866,35,-6,44,1,13,166,167,12,3050,3.466724873,NEF
14.18999958,13.64000034,2957,-90,288,8.979999542,34,165,166,33,3050,1.940009356,NEF
9.319999695,1.320000052,0,-118,1011,29.57999992,35,165,166,31,3050,1.752919436,EF
9.989999771,0.879999995,0,-58,367,15.47000027,22,166,167,19,3050,1.414213538,NEF
11.40999985,9.5,651,646,146,1,27,166,166,27,3050,1.221027851,NEF
5.75,5.190000057,8,-146,42,1,27,165,166,25,3041,2.769968987,NEF
12.51000023,10.88000011,1166,255,176,1,31,166,166,28,3050,1.940009475,NEF
10.88000011,10.59000015,904,278,4,1,31,165,166,29,3050,1.439697027,NEF
13.02999973,11.22999954,1317,-4,198,1,32,165,166,30,3050,1.264911056,NEF
9.449999809,8.25,407,-85,90,1,23,166,167,21,3050,1.035725474,NEF
6.079999924,5.369999886,9,702,54,1,24,166,166,19,3050,2.327698708,NEF
7.309999943,6.849999905,55,603,51,1,28,165,166,26,3050,2.87623477,NEF
10.34000015,8.710000038,499,-134,101,1,22,166,166,20,3050,1.009049892,NEF
14.15999985,13.47999954,2530,263,221,4.139999866,40,165,165,25,3050,1.136181831,EF
1.460000038,1.379999995,0,300,0,60.00999832,24,165,166,12,3050,1.566698909,NEF
7.610000134,1.149999976,0,-159,1037,25.59000015,24,166,167,20,3050,1.439696908,NEF
13.36999989,11.81000042,1259,252,19,1,36,165,166,34,3050,1.758098245,NEF
14.18000031,13.77999973,2993,-190,286,9.090000153,32,166,166,29,3050,1.737291574,EF
7.670000076,7.139999866,207,-121,50,1,21,165,166,21,3050,2.750206709,NEF
10.77999973,8.819999695,518,-29,12,1,27,166,166,25,2501,1,NEF
1.840000033,1.690000057,0,300,0,60.02000046,24,165,166,12,3050,1.300349593,NEF
14.15999985,13.44999981,2461,220,299,3.680000067,38,166,166,27,3050,0.924416244,EF
3.480000019,3.349999905,0,310,0,1,34,165,166,23,3050,1.501514435,NEF
14.07999992,13.51000023,2508,-190,280,1.110000014,30,165,166,25,3050,1.91168654,EF
14.18000031,13.39000034,2424,-55,283,8.130000114,28,166,167,26,3050,1.618079662,NEF
9.06000042,7.869999886,322,-251,36,1,29,165,166,28,3050,1.788854361,NEF
14.18999958,13.64999962,2997,-210,309,13.43999958,37,166,166,27,3050,0.82019949,NEF
14.17000008,13.39999962,2977,247,221,15.31999969,42,165,165,27,3050,1.167748332,EF
9.350000381,1.25,0,-114,197,25.05999947,31,166,166,28,3050,1.967924595,NEF
1.559999943,1.440000057,0,290,0,60.02999878,21,166,166,10,3050,1.361816883,NEF
8.020000458,7.78000021,320,-45,49,1,25,166,167,23,3050,2.561959267,NEF
14.39000034,13.09000015,1796,357,0,1,29,165,166,25,2501,1.183215976,NEF
12.35000038,10.26000023,912,-130,198,1,31,166,166,28,3050,1.640398979,NEF
14.18000031,13.68999958,2992,187,203,12.39999962,35,165,166,29,3050,1.578261375,EF
6.510000229,6.230000019,71,235,38,1,28,166,166,25,3050,3.280798197,NEF
1.860000014,1.74000001,0,300,0,60.02000046,22,166,166,11,3050,1.414213538,NEF
11.52000046,9.56000042,683,-113,223,1,23,166,167,23,3050,1.213559866,NEF
8.470000267,7.460000038,252,-31,56,1,32,165,166,32,3050,1.732050776,NEF
9.039999962,1.330000043,0,-262,1001,27.62999916,31,165,166,29,3050,2.385562658,EF
10.88000011,10.59000015,904,278,4,1,31,165,166,29,3050,1.439697027,NEF
12.60000038,11.03999996,1002,263,2,1,33,165,166,32,3050,1.361817002,NEF
4.599999905,4.150000095,0,339,17,1,34,165,166,25,3050,1.414213538,NEF
14.18999958,13.88000011,2902,150,198,4.170000076,33,165,166,32,3050,1.963299513,EF
9.640000343,1.080000043,0,317,1064,29.5,37,165,166,23,3050,0.82019949,EF
11.01000023,1.269999981,0,-475,204,19.25,35,166,166,33,2963,1.887759566,NEF
7.019999981,6.699999809,137,-183,40,1,19,164,165,17,3050,3.503245115,NEF
6.170000076,5.849999905,36,-190,97,1,31,165,165,23,3050,1.940009356,NEF
2.220000029,1.679999948,0,316,0,60.04000092,29,166,166,16,3050,1.721521616,NEF
1.399999976,0,0,-49,110,66.75,23,166,167,17,3050,1.300349593,NEF
9.989999771,9.720000267,0,-76,0,17.52000046,20,166,167,12,3050,1.375103235,NEF
1.629999995,1.370000005,0,307,0,60.04999924,34,165,166,18,3050,2.018099785,NEF
0,0,0,593,0,91.97000122,-14,166,167,12,3050,0,NEF
8.050000191,7.380000114,249,161,50,1,14,166,167,13,3050,2.101947069,NEF
9.329999924,1.289999962,0,-539,1012,33,35,165,166,28,3050,1.990888238,EF
